user_input,retrieved_contexts,response,faithfulness,answer_relevancy,judge,case_id
이직을 준비 중인데 도움받을 수 있는 정책이 있나요?,['정책명: 고용이음 안착 지원금(이·전직) 지원(2026년 광주 고용이음 위기 극복 프로젝트)\n정책 설명: ○ 사업 목적\r\n· 고용위기 선제대응 지역의 위기로 인한 이‧전직 근로자를 지원하여 조기 이탈 방지 및 고용 안정 유도\r\n\r\n○ 지원 내용\r\n· 안착 지원금(이·전직) 1회 지원\n지원 내용: ○ 안착 지원금(이·전직) 1회\r\n· 이직자: 100만원(지원 대상 산업 → 지원 대상 산업)\r\n· 전직자: 50만원(지원 대상 산업 → 그 외 산업)\r\n· 지역 구분 적용 기준: 근로자 주소지 아닌 직전 사업장 소재지 기준\n관련 키워드: 보조금\n대상 연령: 15세 ~ 59세\n신청 기간: 20260430 ~ 20261231\n소득 조건: 제한없음\n주관 기관: 광주시청'],"이직을 준비 중이라면, 광주시청에서 운영하는 '고용이음 안착 지원금(이·전직) 지원' 정책을 활용할 수 있습니다. 이 정책은 고용위기 선제대응 지역의 이직 근로자를 지원하여 조기 이탈 방지 및 고용 안정 유도를 목표로 합니다. 이직자의 경우, 지원 대상 산업에서 다른 지원 대상 산업으로 이직할 때 100만원의 안착 지원금을 1회 받을 수 있습니다. 신청 기간은 2026년 4월 30일부터 2026년 12월 31일까지이며, 소득 조건은 제한이 없습니다.",,0.586822302559964,watsonx_mistral_small_24b,exp_011
졸업 후 첫 직장을 구하고 있는데 취업 지원금이 있을까요?,"['정책명: 참 괜찮은 강소기업 선정 및 취업연계\n정책 설명: 구직자들이 선호할만한 우수 중소기업을 발굴하고 채용 정보 제공 및 매칭 지원을 통해 중소기업 일자리 미스매치 완화\n지원 내용: 기업정보 제공 및 매칭지원\n관련 키워드: 장기미취업청년,중소기업,벤처\n대상 연령: 세 ~ 세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 중소벤처기업부 창업벤처혁신실 창업정책관']","이 정책은 취업 지원금을 제공하는 것이 아니라, 중소기업의 채용 정보를 제공하고 구직자와 기업을 매칭해주는 정책입니다. 따라서 이 정책을 통해 직접적인 취업 지원금을 받을 수는 없습니다. 하지만, 중소기업의 채용 정보를 쉽게 접하고 매칭 지원을 받을 수 있어 취업 기회를 넓힐 수 있습니다.",0.7142857142857143,0.6514280806755482,watsonx_mistral_small_24b,exp_012
직업훈련을 받고 싶은데 무료로 들을 수 있는 과정이 있을까요?,"['정책명: 한국형 온라인 공개강좌(K-MOOC)\n정책 설명: 대학, 연구기관 등이 제작한 우수한 강좌를 온라인 플랫폼으로 제공\n지원 내용: 대학, 공공기관 등이 개발한 온라인 강좌를 K-MOOC 플랫폼에 탑재하고, 모든 국민에게 무료 개방하여 누구나 학습할 수 있도록 지원\n관련 키워드: 교육지원\n대상 연령: 세 ~ 세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 교육부']","한국형 온라인 공개강좌(K-MOOC) 정책은 대학, 연구기관 등이 제작한 우수한 강좌를 온라인 플랫폼으로 제공하여 누구나 무료로 학습할 수 있도록 지원합니다. 이 정책은 직업훈련을 받고 싶은 사람들에게 무료로 다양한 강좌를 제공하여 학습 기회를 확대하는 데 도움이 됩니다.",0.6,0.4266378088074079,watsonx_mistral_small_24b,exp_013
전세 계약을 앞두고 있는데 보증금 대출 지원이 있을까요?,"[""정책명: 전세보증금반환보증 보증료 지원\n정책 설명: 전세사기, 역전세 등 임차인이 전세보증금을 돌려받지 못하는 전세 피해를 예방하고, 상대적으로 주거 취약계층인 청년 및 저소득층의 주거 안정을 도모\n지원 내용: ○ 지원대상\n- 신청일 기준 유효한 전세보증금반환보증(HUG, HF, SGI)에 가입한 임차보증금 3억원 이하, 연소득 (청년) 5천만원, (청년외) 6천만원, (신혼부부) 7.5천만원 이하 무주택 임차인\n\n○ 지원금\n- 신청인이 기납부한 전세보증금반환보증 보증료에 대해 최대 40만원 한도 내 지원('25.3.30 이전 가입건은 최대 30만원 지원)\nㆍ단, 청년외의 경우 신청인이 기납부한 보증료의 90%를 최대 40만원 한도 내 지원\n\n○ 신청시기\n- 연중 (지자체별 예산 소진시 조기 마감)\n관련 키워드: 주거지원\n대상 연령: 세 ~ 세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 한국고용정보원""]","이 정책은 전세보증금반환보증 보증료를 지원하는 정책으로, 전세 계약을 앞둔 분들에게 보증금 대출 지원이 아니라 보증료를 지원해줍니다. 전세보증금반환보증에 가입한 임차인 중 연소득 조건을 충족하는 청년, 저소득층, 신혼부부에게 보증료를 최대 40만원 한도 내에서 지원합니다.",,0.6253350401165014,watsonx_mistral_small_24b,exp_014
청년 임대주택에 입주하고 싶은데 어떻게 신청하나요?,"['정책명: 부산 청년 맞춤형 민간임대주택 공급(희망더함주택)\n정책 설명: 대중교통 이용이 편리한 지역에 규제 완화를 통해 양질의 저렴한 공공지원민간임대주택을 10년간 청년층에게 공급\n지원 내용: - 공급대상: 19세 이상 39세 이하 무주택 청년 및 신혼부부\r\n - 임 대 료: 주변시세의 85%이하\r\n   (일반공급 85%이하, 특별공급 75% 이하)\r\n - 규제완화: 용적률 법적 상한까지 완화, 건축물 최고높이 적용 배제\r\n - 대 상 지: 역세권, 주요도로변 / 상업, 주거, 준공업지역\r\n  ▸ 주요도로변: 역세권이 아닌 지역으로서, 부산광역시도로부터 50m 이내 지역\r\n  ▸ 역 세 권: 승강장 경계 기준으로 역세권 유형에 따라 범위(500m, 350m) 설정\n관련 키워드: 주거지원\n대상 연령: 19세 ~ 39세\n신청 기간: \n소득 조건: 「민간임대주택에 관한 특별법 시행규칙」[별표1] 참조\n주관 기관: 부산광역시 청년산학국 청년정책과']",부산 청년 맞춤형 민간임대주택 공급(희망더함주택) 정책을 통해 대중교통 이용이 편리한 지역에 규제 완화를 통해 양질의 저렴한 공공지원민간임대주택을 10년간 청년층에게 공급합니다. 19세 이상 39세 이하 무주택 청년 및 신혼부부가 지원 대상입니다. 신청 기간과 소득 조건은 「민간임대주택에 관한 특별법 시행규칙」[별표1]을 참고하시기 바랍니다. 신청은 부산광역시 청년산학국 청년정책과에서 담당합니다.,,0.558226484446127,watsonx_mistral_small_24b,exp_015
이사할 때 이사비를 지원해주는 정책이 있을까요?,"[""정책명: 전세보증금반환보증 보증료 지원\n정책 설명: 전세사기, 역전세 등 임차인이 전세보증금을 돌려받지 못하는 전세 피해를 예방하고, 상대적으로 주거 취약계층인 청년 및 저소득층의 주거 안정을 도모\n지원 내용: ○ 지원대상\n- 신청일 기준 유효한 전세보증금반환보증(HUG, HF, SGI)에 가입한 임차보증금 3억원 이하, 연소득 (청년) 5천만원, (청년외) 6천만원, (신혼부부) 7.5천만원 이하 무주택 임차인\n\n○ 지원금\n- 신청인이 기납부한 전세보증금반환보증 보증료에 대해 최대 40만원 한도 내 지원('25.3.30 이전 가입건은 최대 30만원 지원)\nㆍ단, 청년외의 경우 신청인이 기납부한 보증료의 90%를 최대 40만원 한도 내 지원\n\n○ 신청시기\n- 연중 (지자체별 예산 소진시 조기 마감)\n관련 키워드: 주거지원\n대상 연령: 세 ~ 세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 한국고용정보원""]","제공된 정책 정보에 따르면, 전세보증금반환보증 보증료를 지원하는 정책이 있습니다. 이 정책은 전세사기나 역전세로 인해 전세보증금을 돌려받지 못하는 피해를 예방하고, 청년 및 저소득층의 주거 안정을 도모하는 것을 목표로 합니다. 이 정책을 통해 전세보증금반환보증 보증료를 최대 40만원 한도 내에서 지원받을 수 있습니다. 따라서 이사할 때 전세보증금반환보증 보증료를 지원받을 수 있다면, 이사비 부담을 줄일 수 있습니다.",0.8,0.5219920660844432,watsonx_mistral_small_24b,exp_016
기숙사비가 부담되는데 지원받을 방법이 있을까요?,"['정책명: 대학생 연합생활관(은행권,고양)\n정책 설명: 대학생 주거안정을 위해 민간기부(은행연합회)를 통해 설립된 대학생 연합생활관\n지원 내용: 대학생 주거안정을 위한 기숙사 지원\n - 위치: 경기도 고양시 덕양구 원흥1로 23\n - 정원: 986명(2인 1실)\n - 기숙사비: 월 15만원(보증금 15만원)\n - 입주대상: 대한민국 소재 국내 대학(원)에 입학예정 또는 재적 중인 대학생(세부내용 선발공고 참조)\n관련 키워드: 교육지원,주거지원\n대상 연령: 세 ~ 세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 한국장학재단 청년주거지원부']","대학생 연합생활관 정책을 통해 대학생 주거안정을 위한 기숙사 지원을 받을 수 있습니다. 이 정책은 경기도 고양시에 위치한 대학생 연합생활관에서 월 15만원(보증금 15만원)의 기숙사비를 부담할 수 있도록 지원합니다. 대한민국 소재 국내 대학에 입학예정 또는 재적 중인 대학생이라면 누구나 신청할 수 있으며, 소득 조건이 제한되지 않아 기숙사비가 부담되는 대학생에게 큰 도움이 될 수 있습니다.",0.8333333333333334,0.6591016658976788,watsonx_mistral_small_24b,exp_017
지방에서 서울로 상경했는데 주거 지원이 있을까요?,"['정책명: 대학생 연합생활관(은행권,고양)\n정책 설명: 대학생 주거안정을 위해 민간기부(은행연합회)를 통해 설립된 대학생 연합생활관\n지원 내용: 대학생 주거안정을 위한 기숙사 지원\n - 위치: 경기도 고양시 덕양구 원흥1로 23\n - 정원: 986명(2인 1실)\n - 기숙사비: 월 15만원(보증금 15만원)\n - 입주대상: 대한민국 소재 국내 대학(원)에 입학예정 또는 재적 중인 대학생(세부내용 선발공고 참조)\n관련 키워드: 교육지원,주거지원\n대상 연령: 세 ~ 세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 한국장학재단 청년주거지원부']","네, 서울로 상경한 대학생을 위한 주거 지원이 있습니다. 경기도 고양시에 위치한 대학생 연합생활관에서 대학생 주거안정을 위한 기숙사 지원을 제공하고 있습니다. 이 기숙사는 월 15만원(보증금 15만원)의 비용으로 2인 1실을 이용할 수 있으며, 대한민국 소재 국내 대학에 입학예정 또는 재적 중인 대학생이 대상입니다.",0.8,0.688080913060381,watsonx_mistral_small_24b,exp_018
전세사기 피해를 입었는데 지원받을 수 있는 정책이 있나요?,"[""정책명: 전세보증금반환보증 보증료 지원\n정책 설명: 전세사기, 역전세 등 임차인이 전세보증금을 돌려받지 못하는 전세 피해를 예방하고, 상대적으로 주거 취약계층인 청년 및 저소득층의 주거 안정을 도모\n지원 내용: ○ 지원대상\n- 신청일 기준 유효한 전세보증금반환보증(HUG, HF, SGI)에 가입한 임차보증금 3억원 이하, 연소득 (청년) 5천만원, (청년외) 6천만원, (신혼부부) 7.5천만원 이하 무주택 임차인\n\n○ 지원금\n- 신청인이 기납부한 전세보증금반환보증 보증료에 대해 최대 40만원 한도 내 지원('25.3.30 이전 가입건은 최대 30만원 지원)\nㆍ단, 청년외의 경우 신청인이 기납부한 보증료의 90%를 최대 40만원 한도 내 지원\n\n○ 신청시기\n- 연중 (지자체별 예산 소진시 조기 마감)\n관련 키워드: 주거지원\n대상 연령: 세 ~ 세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 한국고용정보원""]","전세사기 피해를 예방하고, 청년 및 저소득층의 주거 안정을 도모하는 정책인 '전세보증금반환보증 보증료 지원'이 있습니다. 이 정책은 전세보증금반환보증에 가입한 임차인에게 보증료를 지원하여 전세사기 피해를 줄이는 데 도움이 됩니다.",1.0,0.7214093855521949,watsonx_mistral_small_24b,exp_019
신혼부부인데 주택 마련 지원이 있을까요?,"['정책명: 전세보증금반환보증 보증료 지원\n정책 설명: 무주택 임차인의 전세보증금반환보증 가입을 유도하여 전세사기 피해를 예방하기 위한 전세보증금반환보증 보증료 지원\n지원 내용: 납부한 보증료의 전부 또는 일부(최대 40만원*)를 본인 계좌로 이체\n * &apos;26.3.31. 이후 보증 가입자만 해당 (&apos;26.3.30. 이전 보증 가입자는 최대 30만원) \n\n- 청년* 임차인 : 신청인이 기 납부한 보증료 (최대 40만원)\n- 청년* 외 임차인 : 신청인이 기 납부한 보증료의 90% (최대 40만원)\n- 신혼부부** 임차인 : 신청인이 기납부한 보증료 (최대 40만원)\n\n * 신청일 기준 만19세~만39세 \n ** 신청일 기준 혼인신고일이 7년 이내인 부부, 신혼부부 유형으로 대출을 받거나 신혼부부 유형으로 보증료 할인을 받은 경우 (연령 무관)\n관련 키워드: 주거지원\n대상 연령: 19세 ~ 39세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 광주시청']","네, 신혼부부라면 전세보증금반환보증 보증료 지원 정책을 통해 전세보증금반환보증 가입 시 보증료의 일부를 지원받을 수 있습니다. 신혼부부 유형으로 대출을 받거나 보증료 할인을 받은 경우라면 보증료의 최대 40만원까지 지원받을 수 있습니다.",1.0,0.6277444386602999,watsonx_mistral_small_24b,exp_020
