case_id,chat,reference,model,model_response
sel_058,자산형성을 위한 매칭펀드 같은 게 있을까요?,2,watsonx_mistral_small_24b,2
sel_059,신용카드 연체가 걱정되는데 상담받을 수 있는 곳이 있을까요?,0,watsonx_mistral_small_24b,1
sel_060,생계가 어려운데 긴급복지 지원을 받을 수 있을까요?,0,watsonx_mistral_small_24b,3
sel_061,청년 특례보증을 받고 싶은데 조건이 궁금해요.,1,watsonx_mistral_small_24b,1
sel_062,차상위계층인데 금융 지원 정책이 있을까요?,0,watsonx_mistral_small_24b,0
sel_063,가족돌봄청년인데 생계비 지원이 있을까요?,0,watsonx_mistral_small_24b,1
sel_064,청년 창업 아이템 경진대회 같은 게 있을까요?,1,watsonx_mistral_small_24b,1
sel_065,1인 창업을 준비 중인데 사무공간 지원이 있을까요?,1,watsonx_mistral_small_24b,1
sel_066,농업 창업을 준비 중인데 지원받을 수 있는 정책이 있을까요?,2,watsonx_mistral_small_24b,2
sel_067,온라인 쇼핑몰 창업을 준비하는데 도움받을 방법이 있을까요?,2,watsonx_mistral_small_24b,3
sel_068,특허를 활용한 창업을 준비 중인데 지원받을 수 있나요?,1,watsonx_mistral_small_24b,1
sel_069,소상공인 창업자금 대출을 받고 싶은데 조건이 궁금해요.,2,watsonx_mistral_small_24b,2
sel_070,사회적기업 창업을 준비 중인데 지원 정책이 있을까요?,0,watsonx_mistral_small_24b,0
sel_071,예비창업패키지에 지원하고 싶은데 자격이 궁금해요.,1,watsonx_mistral_small_24b,1
sel_072,폐업 후 재창업을 준비 중인데 지원받을 수 있는 정책이 있을까요?,4,watsonx_mistral_small_24b,1
sel_073,해외 진출을 준비하는 스타트업인데 지원 프로그램이 있을까요?,1,watsonx_mistral_small_24b,1
sel_074,공연 관람비를 지원받을 수 있는 청년 문화패스가 있을까요?,0,watsonx_mistral_small_24b,1
sel_075,예술 활동을 하는 청년인데 창작지원금이 있을까요?,0,watsonx_mistral_small_24b,0
sel_076,전시회를 열고 싶은 신진 작가인데 지원받을 방법이 있을까요?,1,watsonx_mistral_small_24b,1
sel_077,독서 모임 운영비를 지원받고 싶어요.,0,watsonx_mistral_small_24b,0
sel_078,지역 축제에 참여하는 청년 기획단 모집이 있을까요?,0,watsonx_mistral_small_24b,3
sel_079,청년 문화예술 동아리 활동비 지원이 있을까요?,0,watsonx_mistral_small_24b,0
sel_080,청년정책 제안을 하고 싶은데 참여할 수 있는 위원회가 있을까요?,0,watsonx_mistral_small_24b,0
sel_081,법률 상담이 필요한데 무료로 받을 수 있는 곳이 있을까요?,0,watsonx_mistral_small_24b,0
sel_082,임금체불을 당했는데 도움받을 수 있는 곳이 있을까요?,0,watsonx_mistral_small_24b,1
sel_083,부당해고를 당한 것 같은데 상담받을 수 있는 정책이 있을까요?,0,watsonx_mistral_small_24b,4
sel_084,청년 자원봉사단에 참여하고 싶은데 지원 정책이 있을까요?,2,watsonx_mistral_small_24b,4
sel_085,지역 청년의회에 참여하고 싶은데 방법이 있을까요?,1,watsonx_mistral_small_24b,1
sel_086,직장 내 괴롭힘 상담을 받고 싶은데 지원 정책이 있을까요?,1,watsonx_mistral_small_24b,1
sel_087,1인가구 안전 관련 지원 정책이 있을까요?,0,watsonx_mistral_small_24b,0
sel_088,다른 지역으로 귀촌하려는데 정착 지원금이 있을까요?,1,watsonx_mistral_small_24b,1
sel_089,군인인데 전역 후 받을 수 있는 지원 정책이 있을까요?,0,watsonx_mistral_small_24b,0
sel_090,다문화가정인데 정착 지원 정책이 있을까요?,0,watsonx_mistral_small_24b,0
sel_091,새터민(북한이탈주민)인데 정착 지원이 있을까요?,0,watsonx_mistral_small_24b,0
sel_092,외국인 유학생인데 받을 수 있는 지원이 있을까요?,0,watsonx_mistral_small_24b,0
sel_093,70대 어르신인데 노인 일자리 지원이 있을까요?,0,watsonx_mistral_small_24b,0
sel_094,초등학생 자녀를 둔 학부모인데 사교육비 지원이 있을까요?,0,watsonx_mistral_small_24b,2
sel_095,반려동물 의료비를 지원받을 수 있나요?,0,watsonx_mistral_small_24b,0
sel_096,자동차 구입 지원금이 있을까요?,0,watsonx_mistral_small_24b,0
sel_097,결혼식 비용을 지원받을 수 있는 정책이 있을까요?,0,watsonx_mistral_small_24b,0
sel_001,"저는 취업준비 중인 25세 대학생이고, 생활비 지원을 받을 수 있는 정책을 찾고 있어요.",0,watsonx_llama_3_3_70b,6
sel_002,학자금 대출 이자가 부담돼요.,0,watsonx_llama_3_3_70b,3
sel_003,마음이 많이 힘든데 상담받을 수 있는 곳이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_004,창업 초기 자금이 부족한데 도움받을 방법이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_005,60대 은퇴 후 창업을 준비하고 있는데 지원받을 수 있는 정책이 있을까요?,0,watsonx_llama_3_3_70b,0
sel_006,"이번에 취업하면서 독립하려는데, 월세 부담이 커서 지원받을 수 있는 정책이 있을까요?",1,watsonx_llama_3_3_70b,1
sel_007,"육아휴직 후 복직을 준비하고 있는 30대 직장인인데, 아이 돌봄 관련 지원이 있을까요?",0,watsonx_llama_3_3_70b,1
sel_008,중소기업 다니는데 목돈 마련할 수 있는 저축 지원 정책이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_009,취업 준비 중인데 이력서나 면접 컨설팅을 받을 수 있는 곳이 있을까요?,0,watsonx_llama_3_3_70b,2
sel_010,구직활동 중인데 활동비를 지원받을 수 있나요?,0,watsonx_llama_3_3_70b,4
sel_011,중소기업에 막 취업했는데 정착지원금 같은 게 있을까요?,0,watsonx_llama_3_3_70b,1
sel_012,장기 실업 상태인데 재취업 지원 프로그램이 있을까요?,1,watsonx_llama_3_3_70b,6
sel_013,인턴십을 하고 싶은데 지원 프로그램이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_014,이직을 준비 중인데 도움받을 수 있는 정책이 있나요?,1,watsonx_llama_3_3_70b,1
sel_015,졸업 후 첫 직장을 구하고 있는데 취업 지원금이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_016,프리랜서로 일하는데 소득 안정 지원이 있을까요?,0,watsonx_llama_3_3_70b,2
sel_017,국가기술자격증 취득 비용을 지원받을 수 있나요?,0,watsonx_llama_3_3_70b,0
sel_018,면접 정장을 대여할 수 있는 지원 서비스가 있을까요?,0,watsonx_llama_3_3_70b,0
sel_019,직업훈련을 받고 싶은데 무료로 들을 수 있는 과정이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_020,장애가 있는데 취업을 지원받을 수 있는 정책이 있을까요?,0,watsonx_llama_3_3_70b,0
sel_021,전세 계약을 앞두고 있는데 보증금 대출 지원이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_022,1인 가구인데 월세 지원받을 수 있는 정책이 있나요?,0,watsonx_llama_3_3_70b,2
sel_023,청년 임대주택에 입주하고 싶은데 어떻게 신청하나요?,1,watsonx_llama_3_3_70b,1
sel_024,이사할 때 이사비를 지원해주는 정책이 있을까요?,0,watsonx_llama_3_3_70b,0
sel_025,기숙사비가 부담되는데 지원받을 방법이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_026,지방에서 서울로 상경했는데 주거 지원이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_027,전세사기 피해를 입었는데 지원받을 수 있는 정책이 있나요?,1,watsonx_llama_3_3_70b,1
sel_028,신혼부부인데 주택 마련 지원이 있을까요?,1,watsonx_llama_3_3_70b,5
sel_029,공공임대주택 입주 조건이 궁금해요.,0,watsonx_llama_3_3_70b,0
sel_030,주거급여를 받을 수 있는지 궁금해요.,0,watsonx_llama_3_3_70b,6
sel_031,귀농을 준비 중인데 주거 지원이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_032,고시원에서 나와 독립하고 싶은데 지원받을 수 있는 정책이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_033,대학원 진학을 준비 중인데 장학금 지원이 있을까요?,0,watsonx_llama_3_3_70b,0
sel_034,국가장학금 신청 자격이 궁금해요.,0,watsonx_llama_3_3_70b,0
sel_035,직무 관련 자격증 시험 응시료를 지원받을 수 있나요?,0,watsonx_llama_3_3_70b,4
sel_036,온라인 강의를 무료로 들을 수 있는 청년 지원 프로그램이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_037,어학연수를 가고 싶은데 지원받을 수 있는 정책이 있나요?,0,watsonx_llama_3_3_70b,5
sel_038,검정고시를 준비 중인데 학습비 지원이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_039,대학교 등록금이 부담되는데 지원받을 방법이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_040,코딩 부트캠프를 듣고 싶은데 국비지원 과정이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_041,고등학교를 중퇴했는데 학업 복귀를 지원하는 정책이 있을까요?,3,watsonx_llama_3_3_70b,3
sel_042,대학생인데 교재비를 지원받을 수 있나요?,0,watsonx_llama_3_3_70b,2
sel_043,다문화가정 자녀인데 교육 지원이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_044,군 제대 후 복학을 준비 중인데 지원받을 수 있는 정책이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_045,산후조리 비용을 지원받고 싶어요.,0,watsonx_llama_3_3_70b,0
sel_046,치과 치료비가 부담되는데 지원받을 수 있는 정책이 있을까요?,0,watsonx_llama_3_3_70b,2
sel_047,정신적으로 지친 상태인데 상담을 지원받을 수 있을까요?,1,watsonx_llama_3_3_70b,1
sel_048,장애인 가족을 돌보고 있는데 돌봄 지원이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_049,난임 시술비를 지원받을 수 있는 정책이 있나요?,0,watsonx_llama_3_3_70b,1
sel_050,여성청소년 생리용품 지원이 있다고 들었는데 맞나요?,0,watsonx_llama_3_3_70b,2
sel_051,혼자 부모님을 간병하고 있는데 돌봄 청년 지원이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_052,예방접종 비용을 지원받고 싶어요.,0,watsonx_llama_3_3_70b,2
sel_053,자립준비청년인데 의료비 지원이 있을까요?,0,watsonx_llama_3_3_70b,0
sel_054,만성질환이 있는데 치료비를 지원받을 수 있는 정책이 있나요?,0,watsonx_llama_3_3_70b,1
sel_055,신용회복이 필요한데 지원받을 수 있는 정책이 있나요?,1,watsonx_llama_3_3_70b,1
sel_056,저축은행 대출 이자가 부담되는데 지원받을 방법이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_057,기초생활수급자인데 받을 수 있는 청년 지원이 있을까요?,0,watsonx_llama_3_3_70b,2
sel_058,자산형성을 위한 매칭펀드 같은 게 있을까요?,2,watsonx_llama_3_3_70b,2
sel_059,신용카드 연체가 걱정되는데 상담받을 수 있는 곳이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_060,생계가 어려운데 긴급복지 지원을 받을 수 있을까요?,0,watsonx_llama_3_3_70b,1
sel_061,청년 특례보증을 받고 싶은데 조건이 궁금해요.,1,watsonx_llama_3_3_70b,1
sel_062,차상위계층인데 금융 지원 정책이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_063,가족돌봄청년인데 생계비 지원이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_064,청년 창업 아이템 경진대회 같은 게 있을까요?,1,watsonx_llama_3_3_70b,1
sel_065,1인 창업을 준비 중인데 사무공간 지원이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_066,농업 창업을 준비 중인데 지원받을 수 있는 정책이 있을까요?,2,watsonx_llama_3_3_70b,2
sel_067,온라인 쇼핑몰 창업을 준비하는데 도움받을 방법이 있을까요?,2,watsonx_llama_3_3_70b,2
sel_068,특허를 활용한 창업을 준비 중인데 지원받을 수 있나요?,1,watsonx_llama_3_3_70b,1
sel_069,소상공인 창업자금 대출을 받고 싶은데 조건이 궁금해요.,2,watsonx_llama_3_3_70b,2
sel_070,사회적기업 창업을 준비 중인데 지원 정책이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_071,예비창업패키지에 지원하고 싶은데 자격이 궁금해요.,1,watsonx_llama_3_3_70b,1
sel_072,폐업 후 재창업을 준비 중인데 지원받을 수 있는 정책이 있을까요?,4,watsonx_llama_3_3_70b,1
sel_073,해외 진출을 준비하는 스타트업인데 지원 프로그램이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_074,공연 관람비를 지원받을 수 있는 청년 문화패스가 있을까요?,0,watsonx_llama_3_3_70b,1
sel_075,예술 활동을 하는 청년인데 창작지원금이 있을까요?,0,watsonx_llama_3_3_70b,0
sel_076,전시회를 열고 싶은 신진 작가인데 지원받을 방법이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_077,독서 모임 운영비를 지원받고 싶어요.,0,watsonx_llama_3_3_70b,0
sel_078,지역 축제에 참여하는 청년 기획단 모집이 있을까요?,0,watsonx_llama_3_3_70b,3
sel_079,청년 문화예술 동아리 활동비 지원이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_080,청년정책 제안을 하고 싶은데 참여할 수 있는 위원회가 있을까요?,0,watsonx_llama_3_3_70b,0
sel_081,법률 상담이 필요한데 무료로 받을 수 있는 곳이 있을까요?,0,watsonx_llama_3_3_70b,0
sel_082,임금체불을 당했는데 도움받을 수 있는 곳이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_083,부당해고를 당한 것 같은데 상담받을 수 있는 정책이 있을까요?,0,watsonx_llama_3_3_70b,4
sel_084,청년 자원봉사단에 참여하고 싶은데 지원 정책이 있을까요?,2,watsonx_llama_3_3_70b,2
sel_085,지역 청년의회에 참여하고 싶은데 방법이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_086,직장 내 괴롭힘 상담을 받고 싶은데 지원 정책이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_087,1인가구 안전 관련 지원 정책이 있을까요?,0,watsonx_llama_3_3_70b,2
sel_088,다른 지역으로 귀촌하려는데 정착 지원금이 있을까요?,1,watsonx_llama_3_3_70b,1
sel_089,군인인데 전역 후 받을 수 있는 지원 정책이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_090,다문화가정인데 정착 지원 정책이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_091,새터민(북한이탈주민)인데 정착 지원이 있을까요?,0,watsonx_llama_3_3_70b,1
sel_092,외국인 유학생인데 받을 수 있는 지원이 있을까요?,0,watsonx_llama_3_3_70b,3
sel_093,70대 어르신인데 노인 일자리 지원이 있을까요?,0,watsonx_llama_3_3_70b,10
sel_094,초등학생 자녀를 둔 학부모인데 사교육비 지원이 있을까요?,0,watsonx_llama_3_3_70b,0
sel_095,반려동물 의료비를 지원받을 수 있나요?,0,watsonx_llama_3_3_70b,0
sel_096,자동차 구입 지원금이 있을까요?,0,watsonx_llama_3_3_70b,0
sel_097,결혼식 비용을 지원받을 수 있는 정책이 있을까요?,0,watsonx_llama_3_3_70b,0
sel_001,"저는 취업준비 중인 25세 대학생이고, 생활비 지원을 받을 수 있는 정책을 찾고 있어요.",0,ollama_qwen3_8b,9
sel_002,학자금 대출 이자가 부담돼요.,0,ollama_qwen3_8b,0
sel_003,마음이 많이 힘든데 상담받을 수 있는 곳이 있을까요?,1,ollama_qwen3_8b,2
sel_004,창업 초기 자금이 부족한데 도움받을 방법이 있을까요?,0,ollama_qwen3_8b,1
sel_005,60대 은퇴 후 창업을 준비하고 있는데 지원받을 수 있는 정책이 있을까요?,0,ollama_qwen3_8b,3
sel_006,"이번에 취업하면서 독립하려는데, 월세 부담이 커서 지원받을 수 있는 정책이 있을까요?",1,ollama_qwen3_8b,0
sel_007,"육아휴직 후 복직을 준비하고 있는 30대 직장인인데, 아이 돌봄 관련 지원이 있을까요?",0,ollama_qwen3_8b,0
sel_008,중소기업 다니는데 목돈 마련할 수 있는 저축 지원 정책이 있을까요?,1,ollama_qwen3_8b,1
sel_009,취업 준비 중인데 이력서나 면접 컨설팅을 받을 수 있는 곳이 있을까요?,0,ollama_qwen3_8b,0
sel_010,구직활동 중인데 활동비를 지원받을 수 있나요?,0,ollama_qwen3_8b,0
sel_011,중소기업에 막 취업했는데 정착지원금 같은 게 있을까요?,0,ollama_qwen3_8b,0
sel_012,장기 실업 상태인데 재취업 지원 프로그램이 있을까요?,1,ollama_qwen3_8b,6
sel_013,인턴십을 하고 싶은데 지원 프로그램이 있을까요?,1,ollama_qwen3_8b,1
sel_014,이직을 준비 중인데 도움받을 수 있는 정책이 있나요?,1,ollama_qwen3_8b,1
sel_015,졸업 후 첫 직장을 구하고 있는데 취업 지원금이 있을까요?,1,ollama_qwen3_8b,0
sel_016,프리랜서로 일하는데 소득 안정 지원이 있을까요?,0,ollama_qwen3_8b,0
sel_017,국가기술자격증 취득 비용을 지원받을 수 있나요?,0,ollama_qwen3_8b,0
sel_018,면접 정장을 대여할 수 있는 지원 서비스가 있을까요?,0,ollama_qwen3_8b,0
sel_019,직업훈련을 받고 싶은데 무료로 들을 수 있는 과정이 있을까요?,1,ollama_qwen3_8b,1
sel_020,장애가 있는데 취업을 지원받을 수 있는 정책이 있을까요?,0,ollama_qwen3_8b,0
sel_021,전세 계약을 앞두고 있는데 보증금 대출 지원이 있을까요?,1,ollama_qwen3_8b,1
sel_022,1인 가구인데 월세 지원받을 수 있는 정책이 있나요?,0,ollama_qwen3_8b,0
sel_023,청년 임대주택에 입주하고 싶은데 어떻게 신청하나요?,1,ollama_qwen3_8b,4
sel_024,이사할 때 이사비를 지원해주는 정책이 있을까요?,0,ollama_qwen3_8b,0
sel_025,기숙사비가 부담되는데 지원받을 방법이 있을까요?,1,ollama_qwen3_8b,1
sel_026,지방에서 서울로 상경했는데 주거 지원이 있을까요?,1,ollama_qwen3_8b,0
sel_027,전세사기 피해를 입었는데 지원받을 수 있는 정책이 있나요?,1,ollama_qwen3_8b,1
sel_028,신혼부부인데 주택 마련 지원이 있을까요?,1,ollama_qwen3_8b,0
sel_029,공공임대주택 입주 조건이 궁금해요.,0,ollama_qwen3_8b,0
sel_030,주거급여를 받을 수 있는지 궁금해요.,0,ollama_qwen3_8b,0
sel_031,귀농을 준비 중인데 주거 지원이 있을까요?,1,ollama_qwen3_8b,1
sel_032,고시원에서 나와 독립하고 싶은데 지원받을 수 있는 정책이 있을까요?,1,ollama_qwen3_8b,0
sel_033,대학원 진학을 준비 중인데 장학금 지원이 있을까요?,0,ollama_qwen3_8b,0
sel_034,국가장학금 신청 자격이 궁금해요.,0,ollama_qwen3_8b,0
sel_035,직무 관련 자격증 시험 응시료를 지원받을 수 있나요?,0,ollama_qwen3_8b,0
sel_036,온라인 강의를 무료로 들을 수 있는 청년 지원 프로그램이 있을까요?,1,ollama_qwen3_8b,1
sel_037,어학연수를 가고 싶은데 지원받을 수 있는 정책이 있나요?,0,ollama_qwen3_8b,0
sel_038,검정고시를 준비 중인데 학습비 지원이 있을까요?,0,ollama_qwen3_8b,0
sel_039,대학교 등록금이 부담되는데 지원받을 방법이 있을까요?,0,ollama_qwen3_8b,0
sel_040,코딩 부트캠프를 듣고 싶은데 국비지원 과정이 있을까요?,1,ollama_qwen3_8b,0
sel_041,고등학교를 중퇴했는데 학업 복귀를 지원하는 정책이 있을까요?,3,ollama_qwen3_8b,3
sel_042,대학생인데 교재비를 지원받을 수 있나요?,0,ollama_qwen3_8b,0
sel_043,다문화가정 자녀인데 교육 지원이 있을까요?,0,ollama_qwen3_8b,0
sel_044,군 제대 후 복학을 준비 중인데 지원받을 수 있는 정책이 있을까요?,0,ollama_qwen3_8b,1
sel_045,산후조리 비용을 지원받고 싶어요.,0,ollama_qwen3_8b,0
sel_046,치과 치료비가 부담되는데 지원받을 수 있는 정책이 있을까요?,0,ollama_qwen3_8b,0
sel_047,정신적으로 지친 상태인데 상담을 지원받을 수 있을까요?,1,ollama_qwen3_8b,2
sel_048,장애인 가족을 돌보고 있는데 돌봄 지원이 있을까요?,1,ollama_qwen3_8b,1
sel_049,난임 시술비를 지원받을 수 있는 정책이 있나요?,0,ollama_qwen3_8b,0
sel_050,여성청소년 생리용품 지원이 있다고 들었는데 맞나요?,0,ollama_qwen3_8b,0
sel_051,혼자 부모님을 간병하고 있는데 돌봄 청년 지원이 있을까요?,1,ollama_qwen3_8b,1
sel_052,예방접종 비용을 지원받고 싶어요.,0,ollama_qwen3_8b,0
sel_053,자립준비청년인데 의료비 지원이 있을까요?,0,ollama_qwen3_8b,0
sel_054,만성질환이 있는데 치료비를 지원받을 수 있는 정책이 있나요?,0,ollama_qwen3_8b,0
sel_055,신용회복이 필요한데 지원받을 수 있는 정책이 있나요?,1,ollama_qwen3_8b,1
sel_056,저축은행 대출 이자가 부담되는데 지원받을 방법이 있을까요?,1,ollama_qwen3_8b,2
sel_057,기초생활수급자인데 받을 수 있는 청년 지원이 있을까요?,0,ollama_qwen3_8b,2
sel_058,자산형성을 위한 매칭펀드 같은 게 있을까요?,2,ollama_qwen3_8b,2
sel_059,신용카드 연체가 걱정되는데 상담받을 수 있는 곳이 있을까요?,0,ollama_qwen3_8b,1
sel_060,생계가 어려운데 긴급복지 지원을 받을 수 있을까요?,0,ollama_qwen3_8b,0
sel_061,청년 특례보증을 받고 싶은데 조건이 궁금해요.,1,ollama_qwen3_8b,1
sel_062,차상위계층인데 금융 지원 정책이 있을까요?,0,ollama_qwen3_8b,1
sel_063,가족돌봄청년인데 생계비 지원이 있을까요?,0,ollama_qwen3_8b,0
sel_064,청년 창업 아이템 경진대회 같은 게 있을까요?,1,ollama_qwen3_8b,1
sel_065,1인 창업을 준비 중인데 사무공간 지원이 있을까요?,1,ollama_qwen3_8b,3
sel_066,농업 창업을 준비 중인데 지원받을 수 있는 정책이 있을까요?,2,ollama_qwen3_8b,2
