case_id,chat,candidates,llm_response,reference,exact_match,actual_positive,predicted_positive
sel_011,중소기업에 막 취업했는데 정착지원금 같은 게 있을까요?,"['참 괜찮은 강소기업 선정 및 취업연계', '(광양시)귀농귀촌 보금자리 조성 지원', '부산청년 잡(JOB)매칭 인턴사업', '부산청년 글로벌 잡(JOB) 챌린지 프로젝트', '벤처기업 공동채용 지원사', '부산 지역인재 장학금 지원', '부산 청년 신용회복 지원', '스타트업 원스톱 지원센터', '(광양시)광양만권 소재부품 지식산업센터 운영', '부산 청년도전 지원사업']",1,0,0.0,False,True
sel_012,장기 실업 상태인데 재취업 지원 프로그램이 있을까요?,"['참 괜찮은 강소기업 선정 및 취업연계', '(광양시)귀농귀촌 보금자리 조성 지원', '(복지부) 26년 정신건강 심리상담 바우처사업', '벤처기업 공동채용 지원사', '[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료', '(광양시) 청년 일자리 만들기 확대', '온국민평생배움터 운영']",4,1,0.0,True,True
sel_013,인턴십을 하고 싶은데 지원 프로그램이 있을까요?,"['(인천교통공사)청년 체험형 인턴 운영', '인천 스타트업파크 청년을 위한 창업 지원', '청년도전지원사업', '(인천환경공단)청년 체험형 인턴 운영', '국제기구 직업체험 프로그램', '인천 농어촌 청년 역량강화 프로그램 지원', '청년 인재육성 사업', '인품 자립주택 운영', '인천시 일자리센터 운영', '드림나래(면접정장대여)']",1,1,1.0,True,True
sel_014,이직을 준비 중인데 도움받을 수 있는 정책이 있나요?,"['고용이음 안착 지원금(이·전직) 지원(2026년 광주 고용이음 위기 극복 프로젝트)', '임산부 직장생활 패키지 용품 지원 사업', '참 괜찮은 강소기업 선정 및 취업연계', '고용이음 안착 지원금(비자발적 퇴사) 지원(2026년 광주 고용이음 위기 극복 프로젝트)', '2026 청년 자산관리 주치의제 (1:1 재무상담)', '고용이음 패키지 지원사업(2026년 광주 고용이음 위기 극복 프로젝트)', '[북구]2026년 청년도전지원사업', '(광양시) 청년 일자리 만들기 확대', '벤처기업 공동채용 지원사', '2026 창업컨설팅']",1,1,1.0,True,True
sel_015,졸업 후 첫 직장을 구하고 있는데 취업 지원금이 있을까요?,"['참 괜찮은 강소기업 선정 및 취업연계', '벤처기업 공동채용 지원사', '(광양시) 청년 일자리 만들기 확대', '[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료', '대학생 연합생활관(은행권,고양)', '(광양시)귀농귀촌 보금자리 조성 지원', '올해의 K-스타트업(舊. 도전! K-스타트업)', '전세보증금반환보증 보증료 지원', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)', '(복지부) 26년 정신건강 심리상담 바우처사업']",1,1,1.0,True,True
sel_016,프리랜서로 일하는데 소득 안정 지원이 있을까요?,"['청소년쉼터 퇴소청소년 자립지원수당', '청년내일저축계좌 지원사업', '전세보증금반환보증 보증료 지원', '(광양시)귀농귀촌 보금자리 조성 지원', '매곡산업단지 복합개발사업', '청소년한부모 자립 지원사업', '전세보증금 반환보증 보증료 지원', '전세보증금 반환보증 보증료 지원', '청년일자리 강소기업 선정 지원사업', '스타트업 원스톱 지원센터']",0,0,1.0,False,False
sel_017,국가기술자격증 취득 비용을 지원받을 수 있나요?,"['스타트업 원스톱 지원센터', '벤처기업 공동채용 지원사', '올해의 K-스타트업(舊. 도전! K-스타트업)']",0,0,1.0,False,False
sel_018,면접 정장을 대여할 수 있는 지원 서비스가 있을까요?,"['[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료', '벤처기업 공동채용 지원사', '참 괜찮은 강소기업 선정 및 취업연계']",0,0,1.0,False,False
sel_019,직업훈련을 받고 싶은데 무료로 들을 수 있는 과정이 있을까요?,['한국형 온라인 공개강좌(K-MOOC)'],1,1,1.0,True,True
sel_020,장애가 있는데 취업을 지원받을 수 있는 정책이 있을까요?,"['참 괜찮은 강소기업 선정 및 취업연계', '(광양시) 청년 일자리 만들기 확대', '벤처기업 공동채용 지원사', '(복지부) 26년 정신건강 심리상담 바우처사업', '올해의 K-스타트업(舊. 도전! K-스타트업)', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료', '(광양시)귀농귀촌 보금자리 조성 지원']",0,0,1.0,False,False
sel_021,전세 계약을 앞두고 있는데 보증금 대출 지원이 있을까요?,"['전세보증금반환보증 보증료 지원', '대학생 연합생활관(은행권,고양)', '(광양시)귀농귀촌 보금자리 조성 지원']",1,1,1.0,True,True
sel_022,1인 가구인데 월세 지원받을 수 있는 정책이 있나요?,"['대학생 연합생활관(은행권,고양)', '전세보증금반환보증 보증료 지원', '(광양시)귀농귀촌 보금자리 조성 지원', 'K-패스(K패스)', '(복지부) 26년 정신건강 심리상담 바우처사업', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)']",0,0,1.0,False,False
sel_023,청년 임대주택에 입주하고 싶은데 어떻게 신청하나요?,"['부산 청년 맞춤형 민간임대주택 공급(희망더함주택)', '부산 평생함께 청년모두가 주거비 지원사업', '대학생 연합생활관(은행권,고양)', '부산 청년 임차보증금 대출 및 대출이자 지원(머물자리론)', '전세보증금반환보증 보증료 지원', '부산 청년 생활인구 유입 활성화(부산온나청년패스)']",1,1,1.0,True,True
sel_024,이사할 때 이사비를 지원해주는 정책이 있을까요?,"['K-패스(K패스)', '대학생 연합생활관(은행권,고양)', '(광양시)귀농귀촌 보금자리 조성 지원', '전세보증금반환보증 보증료 지원']",4,0,0.0,False,True
sel_025,기숙사비가 부담되는데 지원받을 방법이 있을까요?,"['대학생 연합생활관(은행권,고양)', 'K-패스(K패스)', '전세보증금반환보증 보증료 지원', '(광양시)귀농귀촌 보금자리 조성 지원', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)']",1,1,1.0,True,True
sel_026,지방에서 서울로 상경했는데 주거 지원이 있을까요?,"['대학생 연합생활관(은행권,고양)', '(광양시)귀농귀촌 보금자리 조성 지원', '전세보증금반환보증 보증료 지원']",1,1,1.0,True,True
sel_027,전세사기 피해를 입었는데 지원받을 수 있는 정책이 있나요?,"['전세보증금반환보증 보증료 지원', '인천 전세보증금반환보증 보증료 지원', '천원 복비(주택 중개보수 지원)', '청년층 임대주택 공급 확대(통합공공임대주택)', '기존주택 매입 청년 임대사업', '(광양시)귀농귀촌 보금자리 조성 지원', '(미추홀구) 청년창업 희망스타트 지원사업', '아이플러스(i+) 집드림_1.0 이자지원', '아이플러스(i+) 집드림_천원주택', '인품 자립주택 운영']",1,1,1.0,True,True
sel_028,신혼부부인데 주택 마련 지원이 있을까요?,"['전세보증금반환보증 보증료 지원', '전세보증금반환보증 보증료 지원', '청년 주거급여 분리지급', '대학생 연합생활관(은행권,고양)', '(광양시)귀농귀촌 보금자리 조성 지원', '2026년 광산구 구직청년 자격증 취득비용 지원사업', '청년온가 2026년 정기 입주자 모집 재공고', '「2026년 광산구 청년창업자 사업장 월 임대료 지원사업」 지원대상자 모집', '광주청년드림은행(청년재무상담소)', '[광주광역시]2026년 청년도전지원사업']",1,1,1.0,True,True
sel_029,공공임대주택 입주 조건이 궁금해요.,"['대학생 연합생활관(은행권,고양)']",0,0,1.0,False,False
sel_030,주거급여를 받을 수 있는지 궁금해요.,"['매곡산업단지 복합개발사업', '상안지구 행복주택 건립', '대학생 연합생활관(은행권,고양)', '상안지구 행복주택 건립', '(광양시)귀농귀촌 보금자리 조성 지원', '전세보증금반환보증 보증료 지원', '청년내일저축계좌 지원사업', '전세보증금 반환보증 보증료 지원', '청소년쉼터 퇴소청소년 자립지원수당', '전세보증금 반환보증 보증료 지원']",6,0,0.0,False,True
sel_031,귀농을 준비 중인데 주거 지원이 있을까요?,"['(광양시)귀농귀촌 보금자리 조성 지원', '대학생 연합생활관(은행권,고양)', '전세보증금반환보증 보증료 지원']",1,1,1.0,True,True
sel_032,고시원에서 나와 독립하고 싶은데 지원받을 수 있는 정책이 있을까요?,"['대학생 연합생활관(은행권,고양)', '(광양시)귀농귀촌 보금자리 조성 지원']",1,1,1.0,True,True
sel_033,대학원 진학을 준비 중인데 장학금 지원이 있을까요?,"['대학생 연합생활관(은행권,고양)', '[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)', '(복지부) 26년 정신건강 심리상담 바우처사업', '올해의 K-스타트업(舊. 도전! K-스타트업)']",0,0,1.0,False,False
sel_034,국가장학금 신청 자격이 궁금해요.,"['경기도 학자금대출 장기연체 신용회복 지원', '올해의 K-스타트업(舊. 도전! K-스타트업)']",0,0,1.0,False,False
sel_035,직무 관련 자격증 시험 응시료를 지원받을 수 있나요?,"['벤처기업 공동채용 지원사', '부산 지역인재 장학금 지원', '(복지부) 26년 정신건강 심리상담 바우처사업', '부산 청년도전 지원사업', '부산청년 잡(JOB)매칭 인턴사업']",0,0,1.0,False,False
sel_036,온라인 강의를 무료로 들을 수 있는 청년 지원 프로그램이 있을까요?,"['한국형 온라인 공개강좌(K-MOOC)', '온국민평생배움터 운영', '[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료', '(광양시) 청년 일자리 만들기 확대', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)']",1,1,1.0,True,True
sel_037,어학연수를 가고 싶은데 지원받을 수 있는 정책이 있나요?,"['맞춤형 상생장학금 지원', '청년 인재육성 사업', '청년도전지원사업', '대학생 학자금대출 이자 지원', '청년어업인 영어정착지원', '국제기구 직업체험 프로그램', '산업혁신 인재성장 지원(해외연계)', '(연수구) 청년 아카데미 운영', '반도체 특성화대학 지원사업', '(광양시)귀농귀촌 보금자리 조성 지원']",6,0,0.0,False,True
sel_038,검정고시를 준비 중인데 학습비 지원이 있을까요?,"['2026 직업교육훈련 교육생 모집(전액 국비지원)', '[광주광역시]2026년 청년도전지원사업', '학자금대출 신용유의자 신용회복 지원사업', '광주청년드림은행(청년재무상담소)', '[북구]2026년 청년도전지원사업', '대학생 연합생활관(은행권,고양)', '고용이음 안착 지원금(비자발적 퇴사) 지원(2026년 광주 고용이음 위기 극복 프로젝트)', '스타트업 원스톱 지원센터', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)', '청년 주거급여 분리지급']",0,0,1.0,False,False
sel_039,대학교 등록금이 부담되는데 지원받을 방법이 있을까요?,"['대학생 연합생활관(은행권,고양)', 'K-패스(K패스)', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)']",0,0,1.0,False,False
sel_040,코딩 부트캠프를 듣고 싶은데 국비지원 과정이 있을까요?,"['ICT이노베이션스퀘어 확산사업', '배터리 특성화 대학 지원사업', '스타트업 원스톱 지원센터', '청소년한부모 자립 지원사업', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '올해의 K-스타트업(舊. 도전! K-스타트업)']",1,1,1.0,True,True
sel_041,고등학교를 중퇴했는데 학업 복귀를 지원하는 정책이 있을까요?,"['(광양시)귀농귀촌 보금자리 조성 지원', 'K-패스(K패스)', '온국민평생배움터 운영', '(복지부) 26년 정신건강 심리상담 바우처사업', '참 괜찮은 강소기업 선정 및 취업연계', '벤처기업 공동채용 지원사']",3,3,1.0,True,True
sel_042,대학생인데 교재비를 지원받을 수 있나요?,"['대학생 연합생활관(은행권,고양)', 'K-패스(K패스)', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)', '(복지부) 26년 정신건강 심리상담 바우처사업']",2,0,0.0,False,True
sel_043,다문화가정 자녀인데 교육 지원이 있을까요?,"['온국민평생배움터 운영', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)', '벤처기업 공동채용 지원사']",0,0,1.0,False,False
sel_044,군 제대 후 복학을 준비 중인데 지원받을 수 있는 정책이 있을까요?,"['자립준비청년 자립수당지원', '(광양시)귀농귀촌 보금자리 조성 지원', '(복지부) 26년 정신건강 심리상담 바우처사업', '자립준비청년 자립정착금 지원', 'K-패스(K패스)', '[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료']",5,0,0.0,False,True
sel_045,산후조리 비용을 지원받고 싶어요.,"['K-패스(K패스)', '(광양시)귀농귀촌 보금자리 조성 지원', '경기도 학자금대출 장기연체 신용회복 지원', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)', '(복지부) 26년 정신건강 심리상담 바우처사업']",0,0,1.0,False,False
sel_046,치과 치료비가 부담되는데 지원받을 수 있는 정책이 있을까요?,"['심리상담 바우처 사업(구 전국민 마음투자 지원사업)', 'K-패스(K패스)', '스타트업 원스톱 지원센터', '(복지부) 26년 정신건강 심리상담 바우처사업', '부산 청년 신용회복 지원']",0,0,1.0,False,False
sel_047,정신적으로 지친 상태인데 상담을 지원받을 수 있을까요?,"['(복지부) 26년 정신건강 심리상담 바우처사업', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)', '스타트업 원스톱 지원센터']",1,1,1.0,True,True
sel_048,장애인 가족을 돌보고 있는데 돌봄 지원이 있을까요?,"['가족돌봄청년 지원', '인천광역시 청년미래센터 운영', '청년발달장애인 자산형성지원(행복씨앗통장)', '(복지부) 26년 정신건강 심리상담 바우처사업', '아이플러스(i+) 집드림_천원주택', '천원 복비(주택 중개보수 지원)', '고립은둔청년 지원', '인품 자립주택 운영', '맞춤형 상생장학금 지원', '자립지원전담기관 운영']",3,1,0.0,True,True
sel_049,난임 시술비를 지원받을 수 있는 정책이 있나요?,"['임산부 직장생활 패키지 용품 지원 사업', '2026 직업교육훈련 교육생 모집(전액 국비지원)', '고용이음 안착 지원금(비자발적 퇴사) 지원(2026년 광주 고용이음 위기 극복 프로젝트)', '(복지부) 26년 정신건강 심리상담 바우처사업', '고용이음 안착 지원금(이·전직) 지원(2026년 광주 고용이음 위기 극복 프로젝트)', '2026년 서구 청년도전지원사업', '[광주광역시]2026년 청년도전지원사업', '학자금대출 신용유의자 신용회복 지원사업', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)', '[고용노동부]2026년 청년일자리도약장려금']",0,0,1.0,False,False
sel_050,여성청소년 생리용품 지원이 있다고 들었는데 맞나요?,"['청소년복지시설 운영 지원', '청소년특별지원', '지역사회 청소년통합지원체계(청소년안전망)', '디지털미디어 피해 청소년 회복 지원 사업(청소년 인터넷·스마트폰 과의존 치료비 지원)', '국민취업지원제도', '청소년동반자프로그램 운영', '자립지원 전담기관 운영']",0,0,1.0,False,False
sel_051,혼자 부모님을 간병하고 있는데 돌봄 청년 지원이 있을까요?,"['가족돌봄청년 지원사업', '신혼, 맞벌이부부 행복 공동육아나눔터 확충', '울산시립아이돌봄센터 운영', '청소년한부모 자립 지원사업', '울산형 초등 틈새돌봄', '청년중독관리사업 추진', '청소년쉼터 퇴소청소년 자립지원수당', '산모·신생아 재가돌봄 서비스 지원', '청년내일저축계좌 지원사업', '(복지부) 26년 정신건강 심리상담 바우처사업']",1,1,1.0,True,True
sel_052,예방접종 비용을 지원받고 싶어요.,"['심리상담 바우처 사업(구 전국민 마음투자 지원사업)', 'K-패스(K패스)']",0,0,1.0,False,False
sel_053,자립준비청년인데 의료비 지원이 있을까요?,"['심리상담 바우처 사업(구 전국민 마음투자 지원사업)', '(복지부) 26년 정신건강 심리상담 바우처사업', 'K-패스(K패스)', '대학생 연합생활관(은행권,고양)', '전세보증금반환보증 보증료 지원']",0,0,1.0,False,False
sel_054,만성질환이 있는데 치료비를 지원받을 수 있는 정책이 있나요?,"['K-패스(K패스)', '(복지부) 26년 정신건강 심리상담 바우처사업', '임산부 280 건강관리비 지원사업', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)', '저소득층 기저귀 조제분유 지원사업']",0,0,1.0,False,False
sel_055,신용회복이 필요한데 지원받을 수 있는 정책이 있나요?,"['경기도 학자금대출 장기연체 신용회복 지원', '(광양시)귀농귀촌 보금자리 조성 지원', '전세보증금반환보증 보증료 지원', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '(복지부) 26년 정신건강 심리상담 바우처사업', 'K-패스(K패스)', '참 괜찮은 강소기업 선정 및 취업연계', '스타트업 원스톱 지원센터', '(광양시)광양만권 소재부품 지식산업센터 운영', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)']",1,1,1.0,True,True
sel_056,저축은행 대출 이자가 부담되는데 지원받을 방법이 있을까요?,"['부산 청년 신용회복 지원', '부산 청년 임차보증금 대출 및 대출이자 지원(머물자리론)', '부산 신혼부부 럭키7하우스 지원사업', '(광양시)귀농귀촌 보금자리 조성 지원', '전세보증금반환보증 보증료 지원', '부산 전세보증금 반환보증 보증료 지원', '부산 평생함께 청년모두가 주거비 지원사업', '대학생 연합생활관(은행권,고양)', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)', 'K-패스(K패스)']",2,1,0.0,True,True
sel_057,기초생활수급자인데 받을 수 있는 청년 지원이 있을까요?,"['(광양시) 청년 일자리 만들기 확대', '전세보증금반환보증 보증료 지원', 'K-패스(K패스)', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '대학생 연합생활관(은행권,고양)', '(복지부) 26년 정신건강 심리상담 바우처사업', '벤처기업 공동채용 지원사']",0,0,1.0,False,False
sel_058,자산형성을 위한 매칭펀드 같은 게 있을까요?,"['금융감독원 e-금융교육센터', '청년발달장애인 자산형성지원(행복씨앗통장)', '청년내일저축계좌', '청년 재정 UP 클래스', '참 괜찮은 강소기업 선정 및 취업연계']",2,2,1.0,True,True
sel_059,신용카드 연체가 걱정되는데 상담받을 수 있는 곳이 있을까요?,"['심리상담 바우처 사업(구 전국민 마음투자 지원사업)', '스타트업 원스톱 지원센터']",1,0,0.0,False,True
sel_060,생계가 어려운데 긴급복지 지원을 받을 수 있을까요?,"['(복지부) 26년 정신건강 심리상담 바우처사업', '청년내일저축계좌 지원사업', '청소년쉼터 퇴소청소년 자립지원수당', '(광양시)귀농귀촌 보금자리 조성 지원']",3,0,0.0,False,True
sel_061,청년 특례보증을 받고 싶은데 조건이 궁금해요.,"['전세보증금반환보증 보증료 지원', '청년·신규 공무원의 주거안정 방안 마련', 'K-패스(K패스)']",1,1,1.0,True,True
sel_062,차상위계층인데 금융 지원 정책이 있을까요?,"['전세보증금반환보증 보증료 지원', '(광양시)귀농귀촌 보금자리 조성 지원', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)', 'K-패스(K패스)', '(복지부) 26년 정신건강 심리상담 바우처사업', '참 괜찮은 강소기업 선정 및 취업연계', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)']",0,0,1.0,False,False
sel_063,가족돌봄청년인데 생계비 지원이 있을까요?,"['자립준비청년 자립수당지원', '자립준비청년 자립정착금 지원', '(광양시)귀농귀촌 보금자리 조성 지원', '(복지부) 26년 정신건강 심리상담 바우처사업', '전세보증금반환보증 보증료 지원', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)', '대학생 연합생활관(은행권,고양)', 'K-패스(K패스)']",1,0,0.0,False,True
sel_064,청년 창업 아이템 경진대회 같은 게 있을까요?,"['올해의 K-스타트업(舊. 도전! K-스타트업)', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '스타트업 원스톱 지원센터']",1,1,1.0,True,True
sel_065,1인 창업을 준비 중인데 사무공간 지원이 있을까요?,"['스타트업 원스톱 지원센터', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '(광양시)광양만권 소재부품 지식산업센터 운영', '올해의 K-스타트업(舊. 도전! K-스타트업)', '벤처기업 공동채용 지원사']",1,1,1.0,True,True
sel_066,농업 창업을 준비 중인데 지원받을 수 있는 정책이 있을까요?,"['올해의 K-스타트업(舊. 도전! K-스타트업)', '(광양시)귀농귀촌 보금자리 조성 지원', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '스타트업 원스톱 지원센터', '참 괜찮은 강소기업 선정 및 취업연계', '(광양시) 청년 일자리 만들기 확대', '(광양시)광양만권 소재부품 지식산업센터 운영', '벤처기업 공동채용 지원사']",2,2,1.0,True,True
sel_067,온라인 쇼핑몰 창업을 준비하는데 도움받을 방법이 있을까요?,"['[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료', '스타트업 원스톱 지원센터', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '벤처기업 공동채용 지원사', '올해의 K-스타트업(舊. 도전! K-스타트업)']",3,2,0.0,True,True
sel_068,특허를 활용한 창업을 준비 중인데 지원받을 수 있나요?,"['지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '올해의 K-스타트업(舊. 도전! K-스타트업)', '스타트업 원스톱 지원센터', '벤처기업 공동채용 지원사', '(광양시)광양만권 소재부품 지식산업센터 운영', '참 괜찮은 강소기업 선정 및 취업연계']",1,1,1.0,True,True
sel_069,소상공인 창업자금 대출을 받고 싶은데 조건이 궁금해요.,"['청년 사회적경제기업 창업지원사업', '청년창업 특례보증 및 이차보전', '청년도전지원사업', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '스포츠산업 창업 지원', '올해의 K-스타트업(舊. 도전! K-스타트업)', '청년내일저축계좌', '스타트업 원스톱 지원센터', '인천콘텐츠코리아랩 운영', '(계양구) 청년도전지원사업']",2,2,1.0,True,True
sel_070,사회적기업 창업을 준비 중인데 지원 정책이 있을까요?,"['지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '올해의 K-스타트업(舊. 도전! K-스타트업)', '2026 창업컨설팅', '스타트업 원스톱 지원센터', '참 괜찮은 강소기업 선정 및 취업연계', '벤처기업 공동채용 지원사', '(광양시)광양만권 소재부품 지식산업센터 운영', '(광양시) 청년 일자리 만들기 확대', '고용이음 패키지 지원사업(2026년 광주 고용이음 위기 극복 프로젝트)', '[광주광역시]2026년 청년도전지원사업']",0,0,1.0,False,False
sel_071,예비창업패키지에 지원하고 싶은데 자격이 궁금해요.,"['올해의 K-스타트업(舊. 도전! K-스타트업)', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '벤처기업 공동채용 지원사', '스타트업 원스톱 지원센터', '참 괜찮은 강소기업 선정 및 취업연계', '(광양시)귀농귀촌 보금자리 조성 지원', '(복지부) 26년 정신건강 심리상담 바우처사업', '[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료']",1,1,1.0,True,True
sel_072,폐업 후 재창업을 준비 중인데 지원받을 수 있는 정책이 있을까요?,"['지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '울산관광기업지원센터 운영', '올해의 K-스타트업(舊. 도전! K-스타트업)', '스타트업 원스톱 지원센터', '(광양시)귀농귀촌 보금자리 조성 지원', '(광양시)광양만권 소재부품 지식산업센터 운영', '매곡산업단지 복합개발사업', '참 괜찮은 강소기업 선정 및 취업연계', '벤처기업 공동채용 지원사', '청년일자리 강소기업 선정 지원사업']",1,4,0.0,True,True
sel_073,해외 진출을 준비하는 스타트업인데 지원 프로그램이 있을까요?,"['올해의 K-스타트업(舊. 도전! K-스타트업)', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '스타트업 원스톱 지원센터', '벤처기업 공동채용 지원사', '[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료', '(광양시)귀농귀촌 보금자리 조성 지원']",1,1,1.0,True,True
sel_074,공연 관람비를 지원받을 수 있는 청년 문화패스가 있을까요?,['K-패스(K패스)'],1,0,0.0,False,True
